# Pixel,Intensity
337,53267.0000
338,51193.0000
339,53247.0000
340,51756.0000
341,53073.0000
342,51543.0000
343,52858.0000
344,51459.0000
345,53372.0000
346,51460.0000
347,52847.0000
348,51771.0000
349,52725.0000
350,51074.0000
351,52456.0000
352,51509.0000
353,52977.0000
354,51212.0000
355,52913.0000
356,50746.0000
357,53136.0000
358,51414.0000
359,53094.0000
360,51094.0000
361,53047.0000
362,51388.0000
363,53023.0000
364,51055.0000
365,52957.0000
366,51161.0000
367,52632.0000
368,50773.0000
369,52859.0000
370,50932.0000
371,52286.0000
372,50730.0000
373,52812.0000
374,50851.0000
375,52744.0000
376,51003.0000
377,52475.0000
378,51072.0000
379,52791.0000
380,50852.0000
381,52555.0000
382,51301.0000
383,52814.0000
384,50861.0000
385,52850.0000
386,50643.0000
387,52446.0000
388,50917.0000
389,52668.0000
390,51027.0000
391,52797.0000
392,50771.0000
393,52516.0000
394,50634.0000
395,52719.0000
396,50822.0000
397,52769.0000
398,50872.0000
399,52523.0000
400,50379.0000
401,52479.0000
402,50900.0000
403,52192.0000
404,50421.0000
405,52781.0000
406,50541.0000
407,52332.0000
408,50794.0000
409,52292.0000
410,50940.0000
411,51436.0000
412,50598.0000
413,51919.0000
414,50856.0000
415,52248.0000
416,50068.0000
417,52439.0000
418,50709.0000
419,52112.0000
420,50804.0000
421,52038.0000
422,50265.0000
423,52104.0000
424,50660.0000
425,51788.0000
426,50257.0000
427,51942.0000
428,50306.0000
429,52002.0000
430,50692.0000
431,51890.0000
432,50411.0000
433,51469.0000
434,50277.0000
435,51916.0000
436,49947.0000
437,51829.0000
438,49948.0000
439,51828.0000
440,50282.0000
441,52011.0000
442,50012.0000
443,52140.0000
444,49974.0000
445,51151.0000
446,50101.0000
447,52082.0000
448,49974.0000
449,51689.0000
450,49873.0000
451,51180.0000
452,50221.0000
453,51539.0000
454,49942.0000
455,51570.0000
456,49664.0000
457,52356.0000
458,49649.0000
459,51291.0000
460,49819.0000
461,51532.0000
462,50024.0000
463,51956.0000
464,50071.0000
465,51377.0000
466,49834.0000
467,51312.0000
468,49478.0000
469,51311.0000
470,49358.0000
471,51079.0000
472,49180.0000
473,51281.0000
474,49651.0000
475,51141.0000
476,49741.0000
477,51236.0000
478,49552.0000
479,51277.0000
480,49256.0000
481,51268.0000
482,49340.0000
483,50994.0000
484,49496.0000
485,50880.0000
486,49560.0000
487,51498.0000
488,49073.0000
489,50840.0000
490,49316.0000
491,50974.0000
492,48897.0000
493,51394.0000
494,49264.0000
495,51076.0000
496,49375.0000
497,51018.0000
498,48903.0000
499,51384.0000
500,49806.0000
501,51211.0000
502,48999.0000
503,51043.0000
504,48862.0000
505,51089.0000
506,49227.0000
507,50547.0000
508,48601.0000
509,50573.0000
510,49234.0000
511,50647.0000
512,49297.0000
513,50856.0000
514,49102.0000
515,50605.0000
516,49061.0000
517,50318.0000
518,49074.0000
519,50793.0000
520,49312.0000
521,50760.0000
522,48875.0000
523,50915.0000
524,48996.0000
525,50094.0000
526,48342.0000
527,50549.0000
528,49147.0000
529,50730.0000
530,48591.0000
531,50525.0000
532,48686.0000
533,50409.0000
534,48347.0000
535,49857.0000
536,48406.0000
537,50219.0000
538,48502.0000
539,50271.0000
540,48716.0000
541,49963.0000
542,48789.0000
543,50141.0000
544,48481.0000
545,50240.0000
546,48555.0000
547,50270.0000
548,48878.0000
549,50130.0000
550,48542.0000
551,49815.0000
552,48045.0000
553,49913.0000
554,48711.0000
555,49913.0000
556,48317.0000
557,50336.0000
558,48164.0000
559,50151.0000
560,48216.0000
561,50238.0000
562,48184.0000
563,49678.0000
564,48645.0000
565,49990.0000
566,48321.0000
567,50030.0000
568,47561.0000
569,50192.0000
570,48153.0000
571,49698.0000
572,48119.0000
573,49850.0000
574,48256.0000
575,49548.0000
576,48155.0000
577,49831.0000
578,47995.0000
579,49664.0000
580,48210.0000
581,49657.0000
582,47991.0000
583,49821.0000
584,47768.0000
585,49893.0000
586,48072.0000
587,49513.0000
588,47740.0000
589,49916.0000
590,48024.0000
591,49718.0000
592,48120.0000
593,49700.0000
594,48216.0000
595,49856.0000
596,47757.0000
597,50052.0000
598,47450.0000
599,49736.0000
600,47980.0000
601,49484.0000
602,47542.0000
603,49505.0000
